Name,Index,Level,Type,Max_Health,Attack,Defense,Speed,Moves,Evolved_Form,Evolution_Level,Evolution_Item,Abilities,Held_Item,Region,Sub_Region,Mana_Cost,Rarity,Price,Description,Class,Class_Type,Type2
Nidoqueen,31,16,Poison/Ground,90,92,87,76,Superpower:1/Mega Punch:1/Tackle:1/Scratch:1/Tail Whip:1/Double Kick:1/Poison Sting:1/Bite:1/Fury Swipes:1/Body Slam:1/Super Fang:1/Earth Power:1/Superpower:1/Mega Punch:1/Tackle:1/Scratch:1/Tail Whip:1/Double Kick:1/Poison Sting:1/Bite:1/Fury Swipes:1/Body Slam:1/Super Fang:1/Earth Power:1,None,None,None,Poison Point,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Nidoran,32,1,Poison,46,57,40,50,Leer:1/Peck:1/Focus Energy:8/Horn Attack:12/Poison Sting:17/Fury Attack:23/Horn Drill:30/Poison Jab:50/Thrash:61,Nidorino,16,None,Poison Point,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Nidorino,33,16,Poison,61,72,57,65,Leer:1/Peck:1/Focus Energy:8/Horn Attack:12/Poison Sting:17/Fury Attack:24/Horn Drill:33/Poison Jab:58/Thrash:72,Nidoking,None,Moon Stone,Poison Point,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Nidoking,34,16,Poison/Ground,81,102,77,85,Thrash:1/Peck:1/Leer:1/Peck:1/Focus Energy:1/Horn Attack:1/Poison Sting:1/Fury Attack:1,None,None,None,Poison Point,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Clefairy,35,1,Fairy,70,45,48,35,Pound:1/Growl:1/Sing:13/Minimize:24/Metronome:31/Cosmic Power:40/Moonblast:49/Moonlight:58,Clefable,None,Moon Stone,Cute Charm,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Clefable,36,1,Fairy,95,70,73,60,Pound:1/Growl:1/Sing:13/Minimize:24/Metronome:31/Cosmic Power:39/Moonblast:47/Moonlight:55,None,None,None,Cute Charm,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Vulpix,37,1,Fire,38,41,40,65,Ember:1/Tail Whip:1/Quick Attack:4/Will-O-Wisp:9/Confuse Ray:12/Flamethrower:17/Imprison:20/Fire Spin:25/Safeguard:28/Grudge:36,Ninetales,None,Use Fire Stone,Flash Fire,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Ninetales,38,1,Fire,73,76,75,100,Ember:1/Tail Whip:1/Quick Attack:1/Will-O-Wisp:1/Confuse Ray:1/Flamethrower:1/Imprison:1/Fire Spin:1/Safeguard:1/Grudge:1,None,None,None,Flash Fire,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Jigglypuff,39,1,Normal/Fairy,115,45,20,20,Sing:1/Pound:1/Disable:4/Defense Curl:9/Rollout:14/Rest:24/Body Slam:29/Gyro Ball:34/Wake-Up Slap:39/Mimic:44/Hyper Voice:49/Double-Edge:54,Wigglytuff,None,Use Moon Stone,Cute Charm,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Wigglytuff,40,1,Normal/Fairy,140,70,45,45,Sing:1/Pound:1/Disable:1/Defense Curl:4/Rollout:9/Rest:19/Body Slam:24/Gyro Ball:29/Wake-Up Slap:34/Mimic:39/Hyper Voice:44/Double-Edge:49,None,None,None,Cute Charm,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Zubat,41,1,Poison/Flying,40,45,35,55,Leer:1/Astonish:1/Bite:5/Supersonic:10/Wing Attack:15/Confuse Ray:20/Air Cutter:25/Swift:30/Poison Fang:35/Haze:40/Brave Bird:45,Golbat,22,None,Inner Focus,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Golbat,42,22,Poison/Flying,75,80,70,90,Astonish:1/Bite:1/Supersonic:10/Leer:15/Quick Attack:21/Confuse Ray:28/Air Cutter:35/Swift:42/Poison Fang:49/Haze:56/Brave Bird:63,None,None,None,Inner Focus,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Oddish,43,1,Grass/Poison,45,50,55,30,Absorb:1/Sweet Scent:1/Acid:6/Poison Powder:9/Stun Spore:14/Sleep Powder:17/Mega Drain:22/Lucky Chant:25/Natural Gift:30/Moonblast:33/Grassy Terrain:38/Petal Dance:41/Solar Beam:46,Gloom,21,None,Chlorophyll,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Gloom,44,21,Grass/Poison,60,65,70,40,Absorb:1/Sweet Scent:1/Acid:1/Poison Powder:1/Stun Spore:15/Sleep Powder:18/Mega Drain:24/Lucky Chant:29/Natural Gift:34/Moonblast:39/Grassy Terrain:44/Petal Dance:47/Solar Beam:54,Vileplume,None,Leaf Stone,Chlorophyll,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Vileplume,45,21,Grass/Poison,75,80,85,50,Petal Dance:1/Sweet Scent:1/Stun Spore:1/Absorb:1/Acid:1/Poison Powder:1/Sleep Powder:1/Mega Drain:34/Lucky Chant:39/Natural Gift:44/Moonblast:49/Grassy Terrain:54/Petal Dance:59/Solar Beam:64,None,None,None,Chlorophyll,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Paras,46,1,Bug/Grass,35,70,55,25,Scratch:1/Stun Spore:1/Leer:6/Fury Cutter:11/Spore:17/Slash:23/Growth:30/Giga Drain:37/Aromatherapy:44/Rage Powder:51/X-Scissor:58,Parasect,24,None,Effect Spore,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Parasect,47,24,Bug/Grass,60,95,80,30,Scratch:1/Stun Spore:1/Leer:1/Fury Cutter:1/Spore:17/Slash:23/Growth:35/Giga Drain:47/Aromatherapy:59/Rage Powder:71/X-Scissor:83,None,None,None,Effect Spore,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Venonat,48,1,Bug/Poison,60,55,50,45,Tackle:1/Disable:1/Foresight:1/Supersonic:5/Confusion:11/Poison Powder:13/Leech Life:17/Stun Spore:23/Psybeam:27/Sleep Powder:31/Dazzling Gleam:37/Zen Headbutt:41/Baton Pass:47/Signal Beam:53,Venomoth,31,None,Compound Eyes,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Venomoth,49,31,Bug/Poison,70,65,60,90,Tackle:1/Disable:1/Foresight:1/Supersonic:1/Confusion:1/Poison Powder:1/Leech Life:1/Stun Spore:1/Psybeam:28/Sleep Powder:35/Dazzling Gleam:42/Zen Headbutt:49/Baton Pass:56/Signal Beam:63,None,None,None,Shield Dust,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Diglett,50,1,Ground,10,55,25,95,Scratch:1/Sand Attack:1/Growl:4/Astonish:7/Magnitude:12/Sucker Punch:26/Mud Bomb:33/Earth Power:40/Earthquake:47/Fissure:54,Dugtrio,26,None,Sand Veil,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Dugtrio,51,26,Ground,35,80,50,120,Scratch:1/Sand Attack:1/Growl:1/Astonish:1/Magnitude:12/Sucker Punch:30/Mud Bomb:39/Earth Power:48/Earthquake:57/Fissure:66,None,None,None,Sand Veil,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Meowth,52,1,Normal,40,45,35,90,Scratch:1/Growl:1/Bite:12/Fake Out:16/Pay Day:20/Taunt:24/Screech:32/Slash:36/Assist:44,Persian,28,None,Pickup,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Persian,53,28,Normal,65,70,60,115,Scratch:1/Growl:1/Bite:1/Fake Out:1/Pay Day:1/Taunt:1/Screech:1/Slash:1/Assist:1,None,None,None,Limber,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Psyduck,54,1,Water,50,52,48,55,Scratch:1/Tail Whip:1/Water Gun:5/Confusion:10/Fury Swipes:16/Screech:23/Water Pulse:30/Aqua Tail:37/Zen Headbutt:44/Soak:51/Psych Up:58/Amnesia:65/Hydro Pump:72,Golduck,33,None,Damp,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Golduck,55,33,Water,80,82,78,85,Scratch:1/Tail Whip:1/Water Gun:1/Confusion:1/Fury Swipes:18/Screech:26/Water Pulse:34/Aqua Tail:42/Zen Headbutt:50/Soak:58/Psych Up:66/Amnesia:74/Hydro Pump:82,None,None,None,Damp,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Mankey,56,1,Fighting,40,80,35,70,Scratch:1/Leer:1/Low Kick:9/Karate Chop:15/Fury Swipes:21/Seismic Toss:27/Thrash:33,Primeape,28,None,Vital Spirit,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Primeape,57,28,Fighting,65,105,60,95,Karate Chop:1/Fury Swipes:1/Leer:1/Low Kick:1/Karate Chop:1/Focus Energy:37/Thrash:46,None,None,None,Vital Spirit,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Growlithe,58,1,Fire,55,70,45,60,Bite:1/Roar:1/Ember:18/Leer:23/Take Down:30/Flamethrower:39/Agility:50/Fire Blast:61,Arcanine,None,Fire Stone,Intimidate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Arcanine,59,1,Fire,90,110,80,95,Ember:1/Leer:1/Roar:1/Take Down:1/Flamethrower:63/Agility:70/Fire Blast:77/Extreme Speed:84,None,None,None,Intimidate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Poliwag,60,1,Water,40,50,40,90,Bubble:1/Water Gun:16/Hypnosis:19/Body Slam:31/Amnesia:38/Hydro Pump:45,Poliwhirl,25,None,Water Absorb,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Poliwhirl,61,25,Water,65,65,65,90,Bubble:1/Water Gun:1/Hypnosis:1/Body Slam:35/Amnesia:44/Hydro Pump:53/Bubble Beam:62,Poliwrath,None,Water Stone,Water Absorb,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Poliwrath,62,25,Water/Fighting,90,95,95,70,Hypnosis:1/Body Slam:1/Amnesia:55/Hydro Pump:66/Submission:77,None,None,None,Water Absorb,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Abra,63,1,Psychic,25,20,15,90,Teleport:1/Kinesis:1/Confusion:16/Psybeam:20/Reflect:27/Psychic:38,Kadabra,16,None,Synchronize,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Kadabra,64,16,Psychic,40,35,30,105,Teleport:1/Kinesis:1/Confusion:1/Psybeam:1/Reflect:32/Psychic:41/Recover:48,Alakazam,None,Trade,Synchronize,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Alakazam,65,16,Psychic,55,50,45,120,Teleport:1/Kinesis:1/Confusion:1/Psybeam:1/Reflect:27/Psychic:38/Recover:46/Psycho Cut:54/Future Sight:62,None,None,None,Synchronize,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Machop,66,1,Fighting,70,80,50,35,Low Kick:1/Leer:1/Focus Energy:7/Karate Chop:13/Seismic Toss:19/Strength:25,Machoke,28,None,Guts,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Machoke,67,28,Fighting,80,100,70,45,Low Kick:1/Leer:1/Focus Energy:36/Karate Chop:43/Seismic Toss:50/Strength:55,Machamp,None,Trade,Guts,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Machamp,68,28,Fighting,90,130,80,55,Low Kick:1/Leer:1/Focus Energy:1/Karate Chop:1/Seismic Toss:1/Strength:1/Karate Chop:1/Fissure:55,None,None,None,Guts,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Bellsprout,69,1,Grass/Poison,50,75,35,40,Vine Whip:1/Wrap:1/Growth:13/Sleep Powder:15/Poison Powder:18/Stun Spore:21/Acid:26/Sweet Scent:33/Razor Leaf:42/Slam:48/Wrap:55,Weepinbell,21,None,Chlorophyll,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Weepinbell,70,21,Grass/Poison,65,90,50,55,Vine Whip:1/Wrap:1/Growth:1/Sleep Powder:1/Poison Powder:1/Stun Spore:1/Acid:1/Sweet Scent:37/Razor Leaf:46/Slam:55/Wrap:64,Victreebel,None,Leaf Stone,Chlorophyll,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Victreebel,71,21,Grass/Poison,80,105,65,70,Vine Whip:1/Wrap:1/Growth:1/Sleep Powder:1/Poison Powder:1/Stun Spore:1/Acid:1/Sweet Scent:43/Razor Leaf:55/Slam:65/Wrap:75/Leaf Blade:85,None,None,None,Chlorophyll,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Tentacool,72,1,Water/Poison,40,40,35,70,Acid:1/Supersonic:6/Wrap:12/Poison Sting:19/Water Gun:25/Constrict:30/Barrier:35/Screech:40/Hydro Pump:45/Wrap:50,Tentacruel,30,None,Clear Body,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Tentacruel,73,30,Water/Poison,80,70,65,100,Acid:1/Supersonic:1/Wrap:1/Poison Sting:1/Water Gun:1/Constrict:1/Barrier:1/Screech:50/Hydro Pump:58/Wrap:66/Sludge Bomb:74/Sludge Wave:82,None,None,None,Clear Body,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Geodude,74,1,Rock/Ground,40,80,100,20,Tackle:1/Defense Curl:1/Rock Throw:11/Harden:21/Earthquake:26/Explosion:31,Graveler,25,None,Rock Head,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Graveler,75,25,Rock/Ground,55,95,115,35,Tackle:1/Defense Curl:1/Rock Throw:1/Harden:23/Earthquake:29/Explosion:36/Rock Slide:43,Golem,None,Trade,Rock Head,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Golem,76,25,Rock/Ground,80,120,130,45,Tackle:1/Defense Curl:1/Rock Throw:1/Harden:29/Earthquake:36/Explosion:43/Rock Slide:51,None,None,None,Rock Head,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Ponyta,77,1,Fire,50,85,55,90,Growl:1/Tackle:1/Ember:32/Tail Whip:39/Stomp:47/Take Down:55/Agility:63/Fire Spin:71/Flame Wheel:79,Rapidash,40,None,Run Away,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Rapidash,78,40,Fire,65,100,70,105,Growl:1/Tackle:1/Ember:1/Tail Whip:1/Stomp:30/Take Down:39/Agility:48/Fire Spin:54/Flame Wheel:63/Fire Blast:75,None,None,None,Run Away,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Slowpoke,79,1,Water/Psychic,90,65,65,15,Tackle:1/Yawn:1/Growl:5/Water Gun:11/Confusion:15/Disable:21/Headbutt:27/Amnesia:33/Psychic:39/Withdraw:45/Rest:51/Thunder Wave:57/Double-Edge:63,Slowbro,37,None,Oblivious,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Slowbro,80,37,Water/Psychic,95,75,110,30,Tackle:1/Yawn:1/Growl:1/Water Gun:1/Confusion:15/Disable:18/Headbutt:22/Amnesia:27/Psychic:36/Withdraw:43/Rest:50/Thunder Wave:57/Double-Edge:64/Water Pulse:71,None,None,None,Oblivious,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Magnemite,81,1,Electric/Steel,25,35,70,45,Tackle:1/Thundershock:1/Sonic Boom:21/Thunder Wave:25/Supersonic:29/Swift:35/Screech:41/Thunderbolt:47/Light Screen:53/Thunder:59,Magneton,30,None,Magnet Pull,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Magneton,82,30,Electric/Steel,50,60,95,70,Tackle:1/Thundershock:1/Sonic Boom:1/Thunder Wave:1/Supersonic:1/Swift:41/Screech:47/Thunderbolt:53/Light Screen:59/Thunder:65/Thunder Wave:1,None,None,None,Magnet Pull,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Farfetch'd,83,1,Normal/Flying,52,90,55,60,Peck:1/Leer:1/Fury Attack:7/Swords Dance:15/Agility:23/Slash:31/Submission:39/Swords Dance:47,None,None,None,Keen Eye,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Doduo,84,1,Normal/Flying,35,85,45,75,Peck:1/Growl:1/Quick Attack:11/Rage:20/Fury Attack:29/Drill Peck:36/Tri Attack:43/Agility:50,Dodrio,31,None,Run Away,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Dodrio,85,31,Normal/Flying,60,110,70,100,Peck:1/Growl:1/Quick Attack:1/Rage:1/Fury Attack:1/Drill Peck:39/Tri Attack:49/Agility:59,None,None,None,Run Away,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Seel,86,1,Water,65,45,55,45,Headbutt:1/Growl:1/Water Gun:30/Aurora Beam:35/Rest:40/Take Down:45/Ice Beam:50/Safeguard:55/Horn Drill:60,Dewgong,34,None,Thick Fat,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Dewgong,87,34,Water/Ice,90,70,80,70,Headbutt:1/Growl:1/Water Gun:1/Aurora Beam:1/Rest:44/Take Down:49/Ice Beam:54/Safeguard:59/Horn Drill:64/Water Pulse:1/Ice Beam:1,None,None,None,Thick Fat,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Grimer,88,1,Poison,80,80,50,25,Pound:1/Poison Gas:1/Harden:10/Disable:16/Sludge:21/Minimize:27/Screech:32/Acid Armor:37/Sludge Bomb:42/Explosion:47,Muk,38,None,Stench,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Muk,89,38,Poison,105,105,75,50,Pound:1/Poison Gas:1/Harden:1/Disable:1/Sludge:1/Minimize:1/Screech:37/Acid Armor:45/Sludge Bomb:53/Explosion:61/Gunk Shot:69/Poison Jab:77,None,None,None,Stench,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Shellder,90,1,Water,30,65,100,40,Tackle:1/Withdraw:1/Supersonic:1/Clamp:18/Aurora Beam:23/Ice Beam:30/Leer:39/Tri Attack:50,Cloyster,None,Water Stone,Shell Armor,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Cloyster,91,1,Water/Ice,50,95,180,70,Tackle:1/Withdraw:1/Supersonic:1/Clamp:1/Aurora Beam:1/Ice Beam:1/Leer:1/Tri Attack:50/Icicle Spear:61/Spike Cannon:72/Icicle Crash:83/Hydro Pump:94,None,None,None,Skill Link,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
Gastly,92,1,Ghost/Poison,30,35,30,80,Lick:1/Spite:1/Confuse Ray:8/Night Shade:14/Hypnosis:21/Dream Eater:29,Haunter,25,None,Levitate,None,Kanto,Pallet Town,50,1,100,A pet monster,Monster,Pokemon,
